"from" "to" "weight"
1 7 1
1 24 259
1 33 3
1 39 17
1 41 6
1 51 18
1 54 44
1 68 32
1 97 1
1 109 11
1 118 94
1 136 11
1 140 20
1 165 2
1 170 62
2 24 129
2 33 52
2 41 43
2 51 13
2 54 1
2 68 1
2 72 1
2 97 111
2 108 34
2 109 1
2 118 6
2 136 2
2 140 2
2 157 2
2 170 1
3 7 8
3 23 3
3 24 316
3 33 6
3 39 75
3 41 6
3 51 20
3 54 9
3 68 30
3 72 1
3 97 4
3 108 2
3 109 7
3 118 49
3 136 7
3 140 28
3 165 3
3 170 40
4 23 1
4 24 360
4 33 8
4 39 6
4 41 10
4 51 11
4 54 262
4 68 8
4 97 4
4 109 2
4 118 101
4 136 62
4 140 28
4 152 1
4 157 1
4 170 270
5 24 683
5 33 43
5 39 4
5 41 74
5 51 211
5 54 21
5 68 8
5 97 18
5 108 5
5 109 6
5 118 32
5 136 1
5 140 35
5 152 8
5 157 1
5 165 20
5 170 8
6 7 43
6 23 6
6 24 90
6 33 2
6 39 3
6 41 3
6 51 13
6 54 3
6 68 10
6 97 1
6 118 43
6 136 1
6 140 155
6 152 1
6 157 1
6 170 1
7 7 237
7 23 4
7 24 856
7 33 16
7 39 27
7 51 120
7 54 20
7 68 84
7 72 2
7 97 6
7 108 2
7 109 6
7 118 461
7 136 4
7 140 551
7 152 7
7 157 1
7 170 22
8 7 1
8 24 242
8 33 354
8 39 1
8 41 13
8 51 34
8 54 2
8 68 2
8 97 34
8 108 306
8 118 4
8 140 17
8 152 1
8 165 3
8 170 2
9 7 3
9 24 750
9 33 43
9 39 1
9 41 104
9 51 143
9 54 37
9 68 11
9 72 3
9 97 13
9 108 4
9 109 4
9 118 32
9 136 4
9 140 50
9 152 1
9 157 4
9 165 76
9 170 15
10 24 450
10 33 10
10 39 7
10 41 6
10 51 19
10 54 78
10 68 19
10 97 6
10 109 7
10 118 82
10 136 37
10 140 38
10 152 1
10 157 1
10 165 3
10 170 225
11 7 2
11 24 181
11 33 1
11 39 1
11 41 1
11 51 15
11 54 12
11 68 25
11 97 1
11 109 1
11 118 21
11 136 9
11 140 2
11 170 21
12 7 3
12 24 418
12 33 9
12 41 5
12 51 40
12 54 53
12 68 9
12 72 2
12 97 2
12 109 3
12 118 52
12 136 57
12 140 24
12 157 1
12 165 1
12 170 238
13 24 173
13 33 497
13 41 29
13 51 13
13 54 6
13 97 25
13 108 26
13 118 2
13 136 2
13 140 10
13 152 3
13 157 1
13 170 1
14 7 4
14 23 1
14 24 126
14 33 1
14 39 1
14 41 2
14 51 3
14 54 19
14 68 66
14 118 251
14 136 7
14 140 11
14 170 23
15 24 212
15 33 25
15 39 1
15 41 79
15 51 43
15 54 4
15 68 9
15 72 1
15 97 23
15 108 5
15 109 1
15 118 11
15 136 3
15 140 6
15 157 1
15 165 4
15 170 2
16 7 1
16 23 2
16 24 1459
16 33 203
16 39 2
16 41 22
16 51 411
16 54 28
16 68 64
16 72 6
16 97 20
16 108 16
16 109 9
16 118 94
16 136 10
16 140 849
16 152 10
16 157 6
16 165 2
16 170 17
17 7 4
17 24 451
17 33 114
17 39 2
17 41 19
17 51 154
17 54 17
17 68 21
17 97 8
17 108 5
17 109 2
17 118 18
17 136 16
17 140 490
17 152 7
17 165 2
17 170 4
18 24 155
18 33 31
18 41 78
18 51 11
18 54 4
18 68 1
18 72 2
18 97 52
18 118 6
18 136 3
18 140 4
18 165 3
19 24 268
19 33 734
19 41 41
19 51 27
19 54 7
19 68 9
19 72 1
19 97 26
19 108 67
19 109 5
19 118 14
19 136 1
19 140 79
19 152 4
19 170 2
20 23 2
20 24 799
20 33 19
20 39 10
20 41 15
20 51 98
20 54 86
20 68 25
20 97 4
20 108 1
20 109 13
20 118 76
20 136 25
20 140 34
20 152 1
20 157 19
20 165 11
20 170 63
21 24 54
21 33 98
21 41 38
21 51 6
21 97 46
21 108 35
21 118 1
21 136 2
22 7 19
22 23 4
22 24 191
22 33 6
22 39 14
22 41 2
22 51 15
22 54 12
22 68 64
22 72 1
22 97 3
22 109 1
22 118 317
22 136 10
22 140 44
22 157 2
22 170 32
23 7 2
23 23 12
23 24 4357
23 33 103
23 39 12
23 41 82
23 51 267
23 54 97
23 68 46
23 72 16
23 97 28
23 108 2
23 109 41
23 118 189
23 136 37
23 140 210
23 152 4
23 157 23
23 165 25
23 170 40
24 7 55
24 23 95
24 24 63258
24 33 1283
24 39 237
24 41 1012
24 51 4948
24 54 1166
24 68 558
24 72 110
24 97 387
24 108 167
24 109 707
24 118 2108
24 136 373
24 140 2365
24 152 44
24 157 267
