"nodeID" "nodeLabel" "nodeLat" "nodeLong"
134 Siklosi 45.852147 18.2988281
135 Siofoki 46.9057439 18.0525018
136 Sopron-Fertodi 47.684898 16.583053
137 Sumegi 46.9775543 17.2819824
138 Szarvasi 46.8595081 20.5595884
139 Szecsenyi 48.0811488 19.5197217
140 Szegedi 46.2536169 20.1461345
141 Szeghalomi 47.027309 21.166263
142 Szekesfehervari 47.1887157 18.4138088
143 Szekszardi 46.3485623 18.7019205
144 Szentendrei 47.6734712 19.07254
145 Szentesi 46.65192 20.2571842
146 Szentgotthardi 46.9527524 16.2737218
147 Szentlorinci 46.040211 17.989775
148 Szerencsi 48.162418 21.205206
149 Szigetvari 46.0482577 17.8123125
150 Szikszoi 48.1949949 20.9294318
151 Szobi 47.818012 18.8667731
152 Szolnoki 47.174662 20.17628
153 Szombathelyi 47.23514 16.6219178
154 Tabi 46.729486 18.0329558
155 Tamasi 46.6295947 18.2846991
156 Tapolcai 46.88289 17.4413581
157 Tatabanyai 47.5861869 18.3947662
158 Tatai 47.655255 18.3285248
159 Teti 47.515979 17.5168418
160 Tiszafuredi 47.615345 20.7617821
161 Tiszaujvarosi 47.92291 21.052195
162 Tiszavasvari 47.9511368 21.3687867
163 Tokaji 48.119994 21.412563
164 Torokszentmiklosi 47.180736 20.4182932
165 Vaci 47.7754454 19.1377076
166 Varpalotai 47.1973949 18.1396572
167 Vasarosnamenyi 48.126772 22.318366
168 Vasvari 47.051087 16.7985158
169 Veresegyhazi 47.65714 19.284962
170 Veszpremi 47.092967 17.913785
171 Zahonyi 48.406999 22.1745391
172 Zalaegerszegi 46.845412 16.8472302
173 Zalakarosi 46.5605989 17.1230251
174 Zalaszentgroti 46.947143 17.0790458
175 Zirci 47.2630578 17.8725401
