"channel","scenario","scenario_label","effect_label","effect","replicate","seed","known_role_instability","family","scale","score","null_threshold_95","null_median","null_mad","detected"
"graphon_cut_raw","destination_attraction","Destination-attraction shock","large",1,145,20664962,0,"fitted-kernel distance","raw weighted scale",0.933960141782399,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,117,20862934,0,"fitted-kernel distance","raw weighted scale",0.189085276199449,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,155,20763972,0,"fitted-kernel distance","raw weighted scale",0.269037959449029,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,146,20962963,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.216445749830787,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,115,20863932,0,"fitted-kernel distance","raw weighted scale",0.279940435972851,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,67,20764884,0,"fitted-kernel distance","raw weighted scale",0.345706019086321,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","destination_attraction","Destination-attraction shock","large",1,143,20664960,0,"fitted-kernel distance","raw weighted scale",1.06071022727272,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,32,20962849,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.228419045865401,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,172,20763989,0,"fitted-kernel distance","raw weighted scale",0.213031429384577,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,108,20862925,0,"fitted-kernel distance","raw weighted scale",0.21452835480661,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
