"channel","null_threshold_95","null_median","null_mad"
"estimated_role_instability",0.991691287431846,0.94573268599011,0.0218816600202011
"graphon_cut_raw",0.217562537442136,0.184192136278629,0.0103646081418162
"graphon_cut_shape",0.175316396283842,0.156111226754865,0.00709354834600114
"graphon_frobenius_raw",0.660067728143905,0.57075301132333,0.032300088171585
"graphon_frobenius_shape",0.577920598282863,0.511323910358028,0.0258422344945944
"graphon_wasserstein_raw",0.169874751219579,0.118234439123758,0.0159302029376706
"graphon_wasserstein_shape",0.147092610054326,0.100711077158915,0.0140172768078616
"indicator_binary_transitivity",0.0239801659950453,0.0084455858691021,0.00469183866095976
"indicator_edge_density",0.0159889240506329,0.00530063291139243,0.00348101265822784
"indicator_effective_destinations",0.0212173104812073,0.00853589314744596,0.00446599449750229
"indicator_in_strength_gini",0.0340800096386451,0.0124951270025992,0.00761647895118189
"indicator_out_strength_gini",0.0326812569457221,0.0130655685170185,0.00798377371087378
"indicator_top10_destination_share",0.0218795240206667,0.0061885002168191,0.00378617466762925
"indicator_total_weight",0.0710006686478987,0.0236923908095985,0.0146085208242832
"indicator_weighted_reciprocity",0.0380365767076742,0.0137611746676119,0.00780301267220986
"singular_spectrum_raw",4.09260438547839,2.18481976091872,0.525918629541032
"singular_spectrum_shape",2.86333377600237,1.74907628837817,0.352978104620228
