"year","K","raw_block","destination_role_rank","block_size","fitted_in_mean","fitted_out_mean","destination_core_count","regional_core_count","destination_core_labels","regional_core_labels"
"2021",2,1,2,174,4.78502463054181,8.10128078817727,19,19,"Bajai; Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Nyiregyhazai; Oroshazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Szolnoki; Tatabanyai; Vaci; Veszpremi","Bajai; Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Nyiregyhazai; Oroshazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Szolnoki; Tatabanyai; Vaci; Veszpremi"
"2021",4,2,1,1,1058.78857142857,481.76,1,0,"Budapesti",""
"2021",4,3,2,14,58.1359183673471,33.1583673469388,14,14,"Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Tatabanyai; Vaci; Veszpremi","Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Tatabanyai; Vaci; Veszpremi"
"2021",4,1,3,27,0.594285714285699,0,2,2,"Nyiregyhazai; Oroshazai","Nyiregyhazai; Oroshazai"
"2021",4,4,4,133,0.0198925886143875,7.10831364124598,3,3,"Bajai; Kaposvari; Szolnoki","Bajai; Kaposvari; Szolnoki"
"2021",8,5,1,1,1058.78857142857,481.76,1,0,"Budapesti",""
"2021",8,2,2,10,77.8497142857143,41.3165714285714,10,10,"Debreceni; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Pecsi; Szegedi; Szekesfehervari; Veszpremi","Debreceni; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Pecsi; Szegedi; Szekesfehervari; Veszpremi"
"2021",8,4,3,3,10.0228571428571,0,2,2,"Nyiregyhazai; Sopron-Fertodi","Nyiregyhazai; Sopron-Fertodi"
"2021",8,8,4,4,5.97428571428571,15.5957142857143,4,4,"Bajai; Dunaujvarosi; Tatabanyai; Vaci","Bajai; Dunaujvarosi; Tatabanyai; Vaci"
"2021",8,6,5,44,0.00298701298701298,12.1206493506493,2,2,"Kaposvari; Szolnoki","Kaposvari; Szolnoki"
"2021",8,1,6,25,0,0,1,1,"Oroshazai","Oroshazai"
"2021",8,3,6,60,0,5.35142857142858,0,0,"",""
"2021",8,7,6,28,0,2.84571428571429,0,0,"",""
"2021",13,12,1,1,1058.78857142857,481.76,1,0,"Budapesti",""
"2021",13,10,2,5,120.875428571429,49.1897142857143,5,5,"Debreceni; Godolloi; Gyori; Pecsi; Szegedi","Debreceni; Godolloi; Gyori; Pecsi; Szegedi"
"2021",13,11,3,6,30.9533333333333,30.632380952381,6,6,"Dunaujvarosi; Egri; Kecskemeti; Miskolci; Szekesfehervari; Veszpremi","Dunaujvarosi; Egri; Kecskemeti; Miskolci; Szekesfehervari; Veszpremi"
"2021",13,8,4,3,10.0228571428571,0,2,2,"Nyiregyhazai; Sopron-Fertodi","Nyiregyhazai; Sopron-Fertodi"
"2021",13,7,5,3,4.09904761904762,15.2685714285714,3,3,"Bajai; Tatabanyai; Vaci","Bajai; Tatabanyai; Vaci"
"2021",13,2,6,18,0.00730158730158731,7.90698412698413,0,0,"",""
"2021",13,1,7,23,0,5.94186335403727,0,0,"",""
"2021",13,3,7,31,0,6.74433179723502,0,0,"",""
"2021",13,4,7,3,0,34.2704761904762,0,0,"",""
"2021",13,5,7,16,0,2.03107142857143,0,0,"",""
"2021",13,6,7,9,0,20.3396825396825,2,2,"Kaposvari; Szolnoki","Kaposvari; Szolnoki"
"2021",13,9,7,32,0,3.98892857142857,0,0,"",""
"2021",13,13,7,25,0,0,1,1,"Oroshazai","Oroshazai"
"2024",2,1,1,17,147.722689075629,69.0517647058822,16,15,"Budapesti; Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Nyiregyhazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Tatabanyai; Vaci; Veszpremi","Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Nyiregyhazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Tatabanyai; Vaci; Veszpremi"
"2024",2,2,2,158,0.0646292947558828,8.52922242314637,4,4,"Bajai; Kaposvari; Oroshazai; Szolnoki","Bajai; Kaposvari; Oroshazai; Szolnoki"
"2024",4,1,1,1,1332.46285714286,569.211428571429,1,0,"Budapesti",""
"2024",4,4,2,17,69.781848739496,36.4457142857143,16,16,"Bajai; Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Nyiregyhazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Tatabanyai; Vaci; Veszpremi","Bajai; Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Nyiregyhazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Tatabanyai; Vaci; Veszpremi"
"2024",4,2,3,14,0.195918367346937,0,0,0,"",""
