"year","fixed_K","n_nodes","distinct_block_feature_profiles","min_block_size","median_block_size","max_block_size","largest_block_share","effective_number_of_all_blocks","destination_core_n","destination_core_distinct_blocks","destination_core_effective_blocks","destination_core_same_block_rate","destination_core_pairwise_in_rank_gap","destination_core_in_rank_sd","regional_core_n","regional_core_distinct_blocks","regional_core_effective_blocks","regional_core_same_block_rate","regional_core_pairwise_in_rank_gap","regional_core_in_rank_sd","budapest_block_destination_rank","budapest_fitted_in_rank01","raw_total_weight","fitted_total_weight"
"2015",13,175,173,1,15,25,0.142857142857143,11.6647546548501,20,4,2.98636359067038,0.352631578947368,0.119404113732607,0.157619109505667,19,3,2.56683843727002,0.391812865497076,0.12092491765813,0.160106671816973,1,1,361027,361026.999999993
"2018",13,175,151,1,7,38,0.217142857142857,9.0954329033345,20,6,5.14747572745552,0.178947368421053,0.156654567453116,0.21234221039636,19,5,4.55297202369024,0.198830409356725,0.16034818847886,0.216310743742799,1,1,385604,385604.000000012
"2019",13,175,163,1,10,32,0.182857142857143,10.1266944959592,20,6,4.31300972646307,0.242105263157895,0.136705989110708,0.181547432485819,19,5,3.77953417481109,0.269005847953216,0.139309000470525,0.184697866452993,1,1,384035,384035
"2020",13,175,162,1,14,23,0.131428571428571,10.7655244203889,20,6,4.0648994678298,0.28421052631579,0.138233514821537,0.18757683570296,19,5,3.55102234118303,0.31578947368421,0.140821402164415,0.190899205645258,1,1,310946,310946.000000003
"2021",13,175,151,1,9,32,0.182857142857143,9.23598338784029,20,7,5.76856687968238,0.157894736842105,0.173684210526316,0.205565769533797,19,6,5.13301438603457,0.175438596491228,0.177690394568798,0.208818619926806,1,1,330992,330992.000000001
"2024",13,175,161,1,12,30,0.171428571428571,9.88563121294482,20,6,4.24414897401213,0.273684210526316,0.166500302480339,0.201318473170619,19,5,3.71604165522698,0.304093567251462,0.169993950393225,0.204494625117919,1,1,441262,441262.000000008
