"year","K","nodeID","nodeLabel","nodeLat","nodeLong","raw_block","destination_role_rank","origin_role_rank","raw_in_strength","raw_out_strength","fitted_in_mean","fitted_out_mean","fitted_in_rank01","destination_core_rank","is_destination_core","is_regional_destination_core"
"2015",2,"37","Dorogi",47.7197439,18.7287817,1,2,2,0,1162,5.60371100164184,9.20804597701122,0.497126436781609,116,FALSE,FALSE
"2015",2,"38","Dunakeszi",47.6297228,19.1380528,1,2,2,0,3884,5.60371100164184,9.20804597701122,0.497126436781609,117,FALSE,FALSE
"2015",2,"39","Dunaujvarosi",46.980668,18.9127069,1,2,2,0,2452,5.60371100164184,9.20804597701122,0.497126436781609,18,TRUE,TRUE
"2015",2,"40","Edelenyi",48.2966608,20.7442671,1,2,2,0,745,5.60371100164184,9.20804597701122,0.497126436781609,119,FALSE,FALSE
"2015",2,"41","Egri",47.9031987,20.3731077,1,2,2,8565,4164,5.60371100164184,9.20804597701122,0.497126436781609,8,TRUE,TRUE
"2015",2,"42","Encsi",48.330768,21.1219603,1,2,2,0,616,5.60371100164184,9.20804597701122,0.497126436781609,120,FALSE,FALSE
"2015",2,"43","Enyingi",46.9296,18.242978,1,2,2,0,347,5.60371100164184,9.20804597701122,0.497126436781609,121,FALSE,FALSE
"2015",2,"44","Ercsi",47.24966,18.891059,1,2,2,0,685,5.60371100164184,9.20804597701122,0.497126436781609,122,FALSE,FALSE
"2015",2,"45","Erdi",47.3783095,18.9217973,1,2,2,0,4807,5.60371100164184,9.20804597701122,0.497126436781609,123,FALSE,FALSE
"2015",2,"46","Esztergomi",47.793308,18.7419333,1,2,2,0,1831,5.60371100164184,9.20804597701122,0.497126436781609,25,FALSE,FALSE
"2015",2,"47","Fehergyarmati",47.985063,22.517104,1,2,2,0,1207,5.60371100164184,9.20804597701122,0.497126436781609,124,FALSE,FALSE
"2015",2,"48","Fonyodi",46.749197,17.5558792,1,2,2,0,792,5.60371100164184,9.20804597701122,0.497126436781609,125,FALSE,FALSE
"2015",2,"49","Fuzesabonyi",47.750888,20.409611,1,2,2,0,862,5.60371100164184,9.20804597701122,0.497126436781609,126,FALSE,FALSE
"2015",2,"50","Gardonyi",47.1973503,18.6091412,1,2,2,0,824,5.60371100164184,9.20804597701122,0.497126436781609,128,FALSE,FALSE
"2015",2,"51","Godolloi",47.5975105,19.3480017,1,2,2,15766,5213,5.60371100164184,9.20804597701122,0.497126436781609,5,TRUE,TRUE
"2015",2,"52","Gyali",47.3808958,19.215712,1,2,2,0,1631,5.60371100164184,9.20804597701122,0.497126436781609,129,FALSE,FALSE
"2015",2,"53","Gyongyosi",47.775028,19.9280689,1,2,2,0,2806,5.60371100164184,9.20804597701122,0.497126436781609,130,FALSE,FALSE
"2015",2,"54","Gyori",47.684051,17.6351011,1,2,2,12506,6405,5.60371100164184,9.20804597701122,0.497126436781609,6,TRUE,TRUE
"2015",2,"55","Gyulai",46.642498,21.268809,1,2,2,0,1594,5.60371100164184,9.20804597701122,0.497126436781609,131,FALSE,FALSE
"2015",2,"56","Hajduboszormenyi",47.673238,21.5076172,1,2,2,0,1991,5.60371100164184,9.20804597701122,0.497126436781609,132,FALSE,FALSE
"2015",2,"57","Hajduhadhazi",47.68197,21.6685631,1,2,2,0,1532,5.60371100164184,9.20804597701122,0.497126436781609,133,FALSE,FALSE
"2015",2,"58","Hajduszoboszloi",47.443667,21.389719,1,2,2,0,1269,5.60371100164184,9.20804597701122,0.497126436781609,134,FALSE,FALSE
"2015",2,"59","Hatvani",47.668122,19.669901,1,2,2,0,1864,5.60371100164184,9.20804597701122,0.497126436781609,135,FALSE,FALSE
"2015",2,"60","Hevesi",47.5945238,20.2882213,1,2,2,0,793,5.60371100164184,9.20804597701122,0.497126436781609,137,FALSE,FALSE
"2015",2,"61","Hevizi",46.7905869,17.1843866,1,2,2,0,500,5.60371100164184,9.20804597701122,0.497126436781609,138,FALSE,FALSE
"2015",2,"62","Hodmezovasarhelyi",46.430411,20.3188298,1,2,2,0,1825,5.60371100164184,9.20804597701122,0.497126436781609,139,FALSE,FALSE
"2015",2,"63","Ibrany-Nagyhalaszi",48.134908,21.7187528,1,2,2,0,1159,5.60371100164184,9.20804597701122,0.497126436781609,140,FALSE,FALSE
"2015",2,"64","Janoshalmai",46.2967401,19.3228798,1,2,2,0,519,5.60371100164184,9.20804597701122,0.497126436781609,141,FALSE,FALSE
"2015",2,"65","Jaszberenyi",47.5006181,19.9147188,1,2,2,0,2716,5.60371100164184,9.20804597701122,0.497126436781609,142,FALSE,FALSE
"2015",2,"66","Kadarkuti",46.2311466,17.6157102,1,2,2,0,525,5.60371100164184,9.20804597701122,0.497126436781609,143,FALSE,FALSE
"2015",2,"67","Kalocsai",46.5334145,18.9856969,1,2,2,0,1543,5.60371100164184,9.20804597701122,0.497126436781609,144,FALSE,FALSE
"2015",2,"68","Kaposvari",46.36653,17.782483,1,2,2,8630,3214,5.60371100164184,9.20804597701122,0.497126436781609,12,TRUE,TRUE
"2015",2,"69","Kapuvar-Beledi",47.5935568,17.0249715,1,2,2,0,477,5.60371100164184,9.20804597701122,0.497126436781609,145,FALSE,FALSE
"2015",2,"70","Karcagi",47.316632,20.9220631,1,2,2,0,1182,5.60371100164184,9.20804597701122,0.497126436781609,146,FALSE,FALSE
"2015",2,"71","Kazincbarcikai",48.25317,20.6456512,1,2,2,0,1632,5.60371100164184,9.20804597701122,0.497126436781609,147,FALSE,FALSE
"2015",2,"72","Kecskemeti",46.9062092,19.6899774,1,2,2,380,6604,5.60371100164184,9.20804597701122,0.497126436781609,14,TRUE,TRUE
"2015",2,"73","Keszthelyi",46.7695893,17.2481444,1,2,2,0,1353,5.60371100164184,9.20804597701122,0.497126436781609,148,FALSE,FALSE
"2015",2,"74","Kisberi",47.501673,18.0269161,1,2,2,0,514,5.60371100164184,9.20804597701122,0.497126436781609,149,FALSE,FALSE
"2015",2,"75","Kiskorosi",46.620386,19.283827,1,2,2,0,1762,5.60371100164184,9.20804597701122,0.497126436781609,150,FALSE,FALSE
"2015",2,"76","Kiskunfelegyhazai",46.7050953,19.8499199,1,2,2,0,1600,5.60371100164184,9.20804597701122,0.497126436781609,151,FALSE,FALSE
"2015",2,"77","Kiskunhalasi",46.432037,19.4885269,1,2,2,0,1419,5.60371100164184,9.20804597701122,0.497126436781609,152,FALSE,FALSE
"2015",2,"78","Kiskunmajsai",46.492344,19.7368448,1,2,2,0,630,5.60371100164184,9.20804597701122,0.497126436781609,153,FALSE,FALSE
"2015",2,"79","Kisteleki",46.4696447,19.9803972,1,2,2,0,425,5.60371100164184,9.20804597701122,0.497126436781609,154,FALSE,FALSE
"2015",2,"80","Kisvardai",48.2264002,22.0846211,1,2,2,0,2193,5.60371100164184,9.20804597701122,0.497126436781609,156,FALSE,FALSE
"2015",2,"81","Komaromi",47.7434248,18.1191064,1,2,2,0,1164,5.60371100164184,9.20804597701122,0.497126436781609,157,FALSE,FALSE
"2015",2,"82","Komloi",47.600636,20.445412,1,2,2,0,819,5.60371100164184,9.20804597701122,0.497126436781609,158,FALSE,FALSE
"2015",2,"83","Kormendi",47.011113,16.6057156,1,2,2,0,607,5.60371100164184,9.20804597701122,0.497126436781609,159,FALSE,FALSE
"2015",2,"84","Koszegi",47.381935,16.552229,1,2,2,0,557,5.60371100164184,9.20804597701122,0.497126436781609,160,FALSE,FALSE
"2015",2,"85","Kunszentmartoni",46.841082,20.287233,1,2,2,0,881,5.60371100164184,9.20804597701122,0.497126436781609,161,FALSE,FALSE
"2015",2,"86","Kunszentmiklosi",47.026444,19.1227831,1,2,2,0,754,5.60371100164184,9.20804597701122,0.497126436781609,162,FALSE,FALSE
"2015",2,"87","Lengyeltoti",46.667049,17.6407711,1,2,2,0,205,5.60371100164184,9.20804597701122,0.497126436781609,163,FALSE,FALSE
"2015",2,"88","Lenti",46.623785,16.546001,1,2,2,0,588,5.60371100164184,9.20804597701122,0.497126436781609,164,FALSE,FALSE
"2015",2,"89","Letenyei",46.4337456,16.7221882,1,2,2,0,437,5.60371100164184,9.20804597701122,0.497126436781609,165,FALSE,FALSE
"2015",2,"90","Makoi",46.21498,20.47513,1,2,2,0,1290,5.60371100164184,9.20804597701122,0.497126436781609,167,FALSE,FALSE
"2015",2,"91","Marcali",46.582815,17.4119018,1,2,2,0,849,5.60371100164184,9.20804597701122,0.497126436781609,168,FALSE,FALSE
"2015",2,"92","Mateszalkai",47.943265,22.316904,1,2,2,0,1858,5.60371100164184,9.20804597701122,0.497126436781609,169,FALSE,FALSE
"2015",2,"93","Mezocsati",47.823541,20.9028038,1,2,2,0,298,5.60371100164184,9.20804597701122,0.497126436781609,170,FALSE,FALSE
"2015",2,"94","Mezokovacshazai",46.4071834,20.9241681,1,2,2,0,952,5.60371100164184,9.20804597701122,0.497126436781609,171,FALSE,FALSE
"2015",2,"95","Mezokovesdi",47.8068796,20.5650907,1,2,2,0,1407,5.60371100164184,9.20804597701122,0.497126436781609,172,FALSE,FALSE
"2015",2,"96","Mezoturi",47.00278,20.618465,1,2,2,0,902,5.60371100164184,9.20804597701122,0.497126436781609,173,FALSE,FALSE
"2015",2,"97","Miskolci",48.1043854,20.7913563,1,2,2,9882,8359,5.60371100164184,9.20804597701122,0.497126436781609,7,TRUE,TRUE
"2015",2,"98","Mohacsi",45.9959241,18.6798279,1,2,2,0,1295,5.60371100164184,9.20804597701122,0.497126436781609,174,FALSE,FALSE
"2015",2,"99","Monori",47.34754,19.448946,1,2,2,0,3588,5.60371100164184,9.20804597701122,0.497126436781609,175,FALSE,FALSE
"2015",2,"100","Morahalomi",46.217922,19.883719,1,2,2,0,823,5.60371100164184,9.20804597701122,0.497126436781609,28,FALSE,FALSE
"2015",2,"101","Mori",47.3717781,18.2085973,1,2,2,0,1150,5.60371100164184,9.20804597701122,0.497126436781609,29,FALSE,FALSE
