"from_year","to_year","fixed_K","ARI_all_nodes","ARI_destination_core","ARI_regional_core","mean_abs_fitted_in_rank_shift_all","mean_abs_fitted_in_rank_shift_core","mean_abs_fitted_in_rank_shift_regional","regional_core_effective_blocks_from","regional_core_effective_blocks_to","regional_core_same_block_rate_from","regional_core_same_block_rate_to","regional_core_pairwise_in_rank_gap_from","regional_core_pairwise_in_rank_gap_to"
"2015","2018",13,0.097397638489103,0.259942599425994,0.233425088478175,0.199014778325123,0.0765804597701149,0.0806110102843315,2.56683843727002,4.55297202369024,0.391812865497076,0.198830409356725,0.12092491765813,0.16034818847886
"2018","2019",13,0.19401179005675,0.244532803180914,0.222137983320697,0.211658456486043,0.0783045977011494,0.0824258923169994,4.55297202369024,3.77953417481109,0.198830409356725,0.269005847953216,0.16034818847886,0.139309000470525
"2019","2020",13,0.232447664662456,0.458380843785633,0.43620178041543,0.150344827586207,0.0139367816091954,0.014670296430732,3.77953417481109,3.55102234118303,0.269005847953216,0.31578947368421,0.139309000470525,0.140821402164415
"2020","2021",13,0.165867310222603,0.283018867924528,0.262135922330097,0.154581280788177,0.0416666666666667,0.043859649122807,3.55102234118303,5.13301438603457,0.31578947368421,0.175438596491228,0.140821402164415,0.177690394568798
"2021","2024",13,0.192985772795604,0.481540930979133,0.466703357182168,0.0868965517241379,0.00876436781609196,0.00922565033272837,5.13301438603457,3.71604165522698,0.175438596491228,0.304093567251462,0.177690394568798,0.169993950393225
