"metric","metric_role","fixed_K","year_pair","distance"
"frobenius","primary",3,"2016-2017",63.8620368495699
"frobenius","primary",3,"2017-2018",96.3054040825896
"frobenius","primary",3,"2018-2019",68.6383059448005
"frobenius","primary",3,"2019-2020",31.991709475868
"frobenius","primary",3,"2020-2021",73.7543532417014
"frobenius","primary",3,"2021-2022",11.4654125298548
"frobenius","primary",3,"2022-2023",84.3036094228544
"frobenius","primary",3,"2023-2024",8.67974744045825
"cut","primary",3,"2006-2007",0.481892393320967
"cut","primary",3,"2007-2008",0.713730552054922
"cut","primary",3,"2008-2009",1.57080816326527
"cut","primary",3,"2009-2010",2.44996166123836
"cut","primary",3,"2010-2011",0.324440816326494
"cut","primary",3,"2011-2012",2.73756734693877
"cut","primary",3,"2012-2013",2.029387755102
"cut","primary",3,"2013-2014",0.533779591836674
"cut","primary",3,"2014-2015",0.101191836734658
"cut","primary",3,"2015-2016",5.15264811607603
"cut","primary",3,"2016-2017",4.70688654793465
"cut","primary",3,"2017-2018",2.1499606044926
"cut","primary",3,"2018-2019",3.69554868300349
"cut","primary",3,"2019-2020",2.39273075299102
"cut","primary",3,"2020-2021",3.37279920662145
"cut","primary",3,"2021-2022",0.81041632653032
"cut","primary",3,"2022-2023",3.58171983057382
"cut","primary",3,"2023-2024",0.66831020408202
"wasserstein","secondary",3,"2006-2007",1.18199126274498
"wasserstein","secondary",3,"2007-2008",1.43574512463265
"wasserstein","secondary",3,"2008-2009",1.57515102040857
"wasserstein","secondary",3,"2009-2010",2.94898512106099
"wasserstein","secondary",3,"2010-2011",0.324440816326599
"wasserstein","secondary",3,"2011-2012",2.7375673469402
"wasserstein","secondary",3,"2012-2013",2.02938775510268
"wasserstein","secondary",3,"2013-2014",0.548734693877785
"wasserstein","secondary",3,"2014-2015",0.184555102040893
"wasserstein","secondary",3,"2015-2016",9.85140526603388
"wasserstein","secondary",3,"2016-2017",9.89732510573496
"wasserstein","secondary",3,"2017-2018",2.89404340296304
"wasserstein","secondary",3,"2018-2019",5.94771210346908
"wasserstein","secondary",3,"2019-2020",2.39203134881416
"wasserstein","secondary",3,"2020-2021",5.24102494896714
"wasserstein","secondary",3,"2021-2022",0.90840816326551
"wasserstein","secondary",3,"2022-2023",3.60892537543238
