"nodeID","nodeLabel","nodeLat","nodeLong","mean_in_strength_2006_2024","destination_core_rank","is_destination_core","is_regional_destination_core"
"162","Tiszavasvari",47.9511368,21.3687867,0,85,FALSE,FALSE
"163","Tokaji",48.119994,21.412563,0,86,FALSE,FALSE
"164","Torokszentmiklosi",47.180736,20.4182932,0,87,FALSE,FALSE
"166","Varpalotai",47.1973949,18.1396572,0,88,FALSE,FALSE
"167","Vasarosnamenyi",48.126772,22.318366,0,89,FALSE,FALSE
"168","Vasvari",47.051087,16.7985158,0,90,FALSE,FALSE
"169","Veresegyhazi",47.65714,19.284962,0,91,FALSE,FALSE
"17","Bekesi",46.6704899,21.0434996,0,92,FALSE,FALSE
"171","Zahonyi",48.406999,22.1745391,0,93,FALSE,FALSE
"172","Zalaegerszegi",46.845412,16.8472302,0,94,FALSE,FALSE
"173","Zalakarosi",46.5605989,17.1230251,0,95,FALSE,FALSE
"174","Zalaszentgroti",46.947143,17.0790458,0,96,FALSE,FALSE
"175","Zirci",47.2630578,17.8725401,0,97,FALSE,FALSE
"18","Belapatfalvai",48.052725,20.348591,0,98,FALSE,FALSE
"19","Berettyoujfalui",47.233892,21.5340216,0,99,FALSE,FALSE
"2","Abauj-Hegykozi",48.471017,21.2741752,0,100,FALSE,FALSE
"20","Bicskei",47.490759,18.6362719,0,101,FALSE,FALSE
"21","Bodrogkozi",48.263291,21.8918689,0,102,FALSE,FALSE
"22","Bonyhadi",46.2986759,18.5305778,0,103,FALSE,FALSE
"25","Cegledi",47.1772081,19.7980311,0,104,FALSE,FALSE
"26","Celldomolki",47.257515,17.1526399,0,105,FALSE,FALSE
"27","Csengeri",47.8350105,22.6822754,0,106,FALSE,FALSE
"28","Csepregi",47.401546,16.7081249,0,107,FALSE,FALSE
"29","Csongradi",46.710833,20.144575,0,108,FALSE,FALSE
"3","Adonyi",47.119574,18.8652611,0,109,FALSE,FALSE
"30","Csornai",47.601529,17.249978,0,110,FALSE,FALSE
"31","Csurgoi",46.260776,17.095325,0,111,FALSE,FALSE
"32","Dabasi",47.192283,19.330853,0,112,FALSE,FALSE
"34","Derecske-Letavertesi",47.3824608,21.891967,0,113,FALSE,FALSE
"35","Devecseri",47.106397,17.437279,0,114,FALSE,FALSE
"36","Dombovari",46.383295,18.131089,0,115,FALSE,FALSE
"37","Dorogi",47.7197439,18.7287817,0,116,FALSE,FALSE
"38","Dunakeszi",47.6297228,19.1380528,0,117,FALSE,FALSE
"4","Ajkai",47.1068802,17.563957,0,118,FALSE,FALSE
"40","Edelenyi",48.2966608,20.7442671,0,119,FALSE,FALSE
"42","Encsi",48.330768,21.1219603,0,120,FALSE,FALSE
"43","Enyingi",46.9296,18.242978,0,121,FALSE,FALSE
"44","Ercsi",47.24966,18.891059,0,122,FALSE,FALSE
"45","Erdi",47.3783095,18.9217973,0,123,FALSE,FALSE
"47","Fehergyarmati",47.985063,22.517104,0,124,FALSE,FALSE
"48","Fonyodi",46.749197,17.5558792,0,125,FALSE,FALSE
"49","Fuzesabonyi",47.750888,20.409611,0,126,FALSE,FALSE
"5","Aszodi",47.6523763,19.4759463,0,127,FALSE,FALSE
"50","Gardonyi",47.1973503,18.6091412,0,128,FALSE,FALSE
"52","Gyali",47.3808958,19.215712,0,129,FALSE,FALSE
"53","Gyongyosi",47.775028,19.9280689,0,130,FALSE,FALSE
"55","Gyulai",46.642498,21.268809,0,131,FALSE,FALSE
"56","Hajduboszormenyi",47.673238,21.5076172,0,132,FALSE,FALSE
"57","Hajduhadhazi",47.68197,21.6685631,0,133,FALSE,FALSE
"58","Hajduszoboszloi",47.443667,21.389719,0,134,FALSE,FALSE
"59","Hatvani",47.668122,19.669901,0,135,FALSE,FALSE
"6","Bacsalmasi",46.123955,19.32633,0,136,FALSE,FALSE
"60","Hevesi",47.5945238,20.2882213,0,137,FALSE,FALSE
"61","Hevizi",46.7905869,17.1843866,0,138,FALSE,FALSE
"62","Hodmezovasarhelyi",46.430411,20.3188298,0,139,FALSE,FALSE
"63","Ibrany-Nagyhalaszi",48.134908,21.7187528,0,140,FALSE,FALSE
"64","Janoshalmai",46.2967401,19.3228798,0,141,FALSE,FALSE
"65","Jaszberenyi",47.5006181,19.9147188,0,142,FALSE,FALSE
"66","Kadarkuti",46.2311466,17.6157102,0,143,FALSE,FALSE
"67","Kalocsai",46.5334145,18.9856969,0,144,FALSE,FALSE
"69","Kapuvar-Beledi",47.5935568,17.0249715,0,145,FALSE,FALSE
"70","Karcagi",47.316632,20.9220631,0,146,FALSE,FALSE
"71","Kazincbarcikai",48.25317,20.6456512,0,147,FALSE,FALSE
"73","Keszthelyi",46.7695893,17.2481444,0,148,FALSE,FALSE
"74","Kisberi",47.501673,18.0269161,0,149,FALSE,FALSE
"75","Kiskorosi",46.620386,19.283827,0,150,FALSE,FALSE
"76","Kiskunfelegyhazai",46.7050953,19.8499199,0,151,FALSE,FALSE
"77","Kiskunhalasi",46.432037,19.4885269,0,152,FALSE,FALSE
"78","Kiskunmajsai",46.492344,19.7368448,0,153,FALSE,FALSE
"79","Kisteleki",46.4696447,19.9803972,0,154,FALSE,FALSE
"8","Baktaloranthazai",47.997697,22.0766029,0,155,FALSE,FALSE
"80","Kisvardai",48.2264002,22.0846211,0,156,FALSE,FALSE
"81","Komaromi",47.7434248,18.1191064,0,157,FALSE,FALSE
"82","Komloi",47.600636,20.445412,0,158,FALSE,FALSE
"83","Kormendi",47.011113,16.6057156,0,159,FALSE,FALSE
"84","Koszegi",47.381935,16.552229,0,160,FALSE,FALSE
"85","Kunszentmartoni",46.841082,20.287233,0,161,FALSE,FALSE
"86","Kunszentmiklosi",47.026444,19.1227831,0,162,FALSE,FALSE
"87","Lengyeltoti",46.667049,17.6407711,0,163,FALSE,FALSE
"88","Lenti",46.623785,16.546001,0,164,FALSE,FALSE
"89","Letenyei",46.4337456,16.7221882,0,165,FALSE,FALSE
