"year","fixed_K","destination_core_effective_roles","destination_core_same_role_rate","destination_core_pairwise_rank_gap","regional_core_effective_roles","regional_core_same_role_rate","regional_core_pairwise_rank_gap"
2006,13,4.95434717787434,0.2,0.12705686630369,4.37333768583381,0.222222222222222,0.129058277878605
2007,13,3.58942301259808,0.326315789473684,0.122655777374471,3.11519192560415,0.362573099415205,0.124117765678564
2008,13,4.60659797139501,0.221052631578947,0.134119782214156,4.05082431007185,0.245614035087719,0.136586677421523
2009,13,3.93737860928255,0.263157894736842,0.122988505747126,3.4338570639559,0.292397660818713,0.124823553135713
2010,13,2.66963457813516,0.447368421052632,0.114413188142771,2.28110351518765,0.497076023391813,0.115278618000941
2011,13,2.66963457813516,0.447368421052632,0.114413188142771,2.28110351518765,0.497076023391813,0.115278618000941
2012,13,4.02418036760919,0.247368421052632,0.122323049001815,3.51358859436691,0.274853801169591,0.124184983531626
2013,13,4.02418036760919,0.247368421052632,0.122323049001815,3.51358859436691,0.274853801169591,0.124184983531626
2014,13,4.02418036760919,0.247368421052632,0.122323049001815,3.51358859436691,0.274853801169591,0.124184983531626
2015,13,2.98636359067038,0.352631578947368,0.119404113732607,2.56683843727002,0.391812865497076,0.12092491765813
2016,13,3.95419247654476,0.242105263157895,0.082788868723533,3.44929423731835,0.269005847953216,0.0828796128251664
2017,13,4.02418036760919,0.247368421052632,0.130716878402904,3.51358859436691,0.274853801169591,0.133024131209249
2018,13,5.14747572745552,0.178947368421053,0.156654567453116,4.55297202369024,0.198830409356725,0.16034818847886
2019,13,4.02418036760919,0.247368421052632,0.136705989110708,3.51358859436691,0.274853801169591,0.139309000470525
2020,13,3.79268531076562,0.289473684210526,0.138233514821537,3.30115591478847,0.321637426900585,0.140821402164415
2021,13,5.24327629466348,0.168421052631579,0.173684210526316,4.64221140743129,0.187134502923977,0.177690394568797
2022,13,4.18711725914674,0.231578947368421,0.168466424682396,3.6634970034134,0.257309941520468,0.172178530617732
2023,13,4.05576227928804,0.252631578947368,0.167679975801573,3.54262064703353,0.280701754385965,0.171304698527929
2024,13,3.85767317439568,0.28421052631579,0.166500302480339,3.36072523180892,0.31578947368421,0.169993950393224
